neighborhood,premisescounty,venue_count,avg_subway_entrances,avg_complaints,subway_score,safety_score,competition_score,popupiq_score,boro_check,ntaname,boroname
Canarsie,Kings,6,0.6666666666666666,88.66666666666667,1.01010101010101,91.67449139280124,99.1769547325103,56.9,Brooklyn,Canarsie,Brooklyn
Midwood,Kings,8,1.75,106.125,2.6515151515151514,90.03521126760563,98.90260631001372,56.9,Brooklyn,Midwood,Brooklyn
Maspeth,Queens,38,0.02631578947368421,58.89473684210526,0.03987240829346093,94.46997776130466,94.78737997256516,56.8,Queens,Maspeth,Queens
South Richmond Hill,Queens,21,4.333333333333333,140.61904761904762,6.565656565656565,86.79633355689693,97.11934156378601,56.8,Queens,South Richmond Hill,Queens
Bayside,Queens,44,0.0,56.93181818181818,0.0,94.65428937259924,93.96433470507544,56.7,Queens,Bayside,Queens
Bay Ridge,Kings,83,4.301204819277109,97.03614457831326,6.51697699890471,90.88862492222411,88.61454046639233,56.7,Brooklyn,Bay Ridge,Brooklyn
Prospect Heights,Kings,37,4.108108108108108,129.51351351351352,6.2244062244062235,87.83910671234615,94.92455418381344,56.6,Brooklyn,Prospect Heights,Brooklyn
Port Richmond,Richmond,14,0.0,79.14285714285714,0.0,92.56874580818243,98.079561042524,56.6,Staten Island,Port Richmond,Staten Island
Gravesend (East)-Homecrest,Kings,22,1.5,101.95454545454545,2.272727272727273,90.42680324370465,96.98216735253772,56.5,Brooklyn,Gravesend (East)-Homecrest,Brooklyn
Tompkinsville-Stapleton-Clifton-Fox Hills,Richmond,18,2.111111111111111,115.0,3.1986531986531985,89.2018779342723,97.53086419753086,56.5,Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island
Coney Island-Sea Gate,Kings,39,6.461538461538462,171.53846153846155,9.79020979020979,83.89310220296136,94.65020576131687,56.4,Brooklyn,Coney Island-Sea Gate,Brooklyn
East Flatbush-Farragut,Kings,9,0.0,92.33333333333333,0.0,91.3302034428795,98.76543209876543,56.3,Brooklyn,East Flatbush-Farragut,Brooklyn
East Flushing,Queens,19,0.0,83.94736842105263,0.0,92.11761798863355,97.39368998628258,56.3,Queens,East Flushing,Queens
Kensington,Kings,9,0.1111111111111111,93.22222222222223,0.16835016835016833,91.24673969744393,98.76543209876543,56.3,Brooklyn,Kensington,Brooklyn
