licensepermitid,premisescounty,description,legalname,dba,actualaddressofpremises,city,statename,zipcode,originalissuedate,expirationdate,georeference
0240-22-100853,Queens,Restaurant,EL FOGON REST INC,,1701 PALMETTO ST,RIDGEWOOD,New York,11385,01/28/2026,01/31/2028,POINT (-73.90473 40.70571)
0240-22-101032,New York,Restaurant,ATOBOY LLC,,43 E 28TH ST,NEW YORK,New York,10016,06/28/2024,06/30/2026,POINT (-73.98462 40.74356)
0240-23-139971,Queens,Restaurant,SUSHI ME INC,SUSHI ME,14-18 150TH ST,WHITESTONE,New York,11357,06/03/2025,06/30/2027,POINT (-73.81389 40.78807)
0240-23-140239,Kings,Restaurant,BENDOM BROOKLYN INC,BIG TINY,244 SMITH ST,BROOKLYN,New York,11231,04/28/2025,05/31/2027,POINT (-73.99269 40.68341)
0240-23-140773,New York,Restaurant,AKAMI INC,,1771 1ST AVE,NEW YORK,New York,10128,02/13/2025,02/28/2027,POINT (-73.94679 40.7804)
0240-23-142436,Bronx,Restaurant,EL TINA RIVERDALE CORP,,308 W 231 ST,BRONX,New York,10463,07/05/2025,07/31/2027,POINT (-73.90865 40.88095)
0240-24-126659,Queens,Restaurant,Myungdong Noodle Inc,,56-21 Marathon Pkwy,Little Neck,New York,11362,08/30/2024,07/31/2026,POINT (-73.73147 40.75981)
0340-21-120154,New York,Restaurant,TWIN OAKS USA INC,ANJAPPAR CHETTINAD,116 LEXINGTON AVE,NEW YORK,New York,10016,12/23/2025,12/31/2027,POINT (-73.98257 40.7425)
0340-22-105272,New York,Restaurant,JOIE 22 LLC,JUA,36 E 22ND ST,NEW YORK,New York,10010,01/09/2026,01/31/2028,POINT (-73.98769 40.73988)
0340-22-105823,Queens,Restaurant,OTG JFK T5 VENTURE LLC,,JFK AIRPORT TERM 5 GATE 58EC,JAMAICA,New York,11430,09/17/2024,09/30/2026,
0340-22-108594,New York,Restaurant,M ARAI INC,,137 E 45TH STREET,NEW YORK,New York,10017,08/23/2024,09/30/2026,POINT (-73.97412 40.75315)
0340-23-127091,New York,Restaurant,BD STANHOPE LLC,,369 W 16TH ST,NEW YORK,New York,10011,05/23/2025,05/31/2027,POINT (-74.00349 40.74189)
0340-23-128183,Queens,Restaurant,SSP AMERICA LGA LLC,BAR VELOCE,LAGUARDIA AIRPORT TERMINAL B,FLUSHING,New York,11371,09/24/2025,09/30/2027,
0340-23-128661,Kings,Restaurant,U BAR & RESTAURANT CORP,,1114 1116 AVENUE U,BROOKLYN,New York,11223,01/13/2025,02/28/2027,POINT (-73.96059 40.59836)
0340-23-135103,Kings,Restaurant,Chez Oly Int'l Inc.,KARLOFF,254 COURT ST,BROOKLYN,New York,11231,08/26/2025,08/31/2027,POINT (-73.99454 40.68524)
0340-23-137681,New York,Restaurant,KDL HOSPITALITY LLC,CHELSEA BELL,260 W 26TH ST,NEW YORK,New York,10001,01/24/2025,01/31/2027,POINT (-73.9967 40.74703)
0340-23-138062,Kings,Restaurant,OREGANO LLC,OREGANO,102 BERRY ST,BROOKYLN,New York,11249,06/24/2025,06/30/2027,POINT (-73.95862 40.71898)
0340-23-138800,Bronx,Restaurant,FIESTA LOUNGE & RESTAURANT CORP,,4640 3RD AVE,BRONX,New York,10458,06/24/2025,06/30/2027,POINT (-73.89109 40.85716)
0340-23-159640,Kings,Restaurant,ESQ PARK SLOPE LLC,EMMY SQUARED PIZZA,315 5TH AVE,BROOKLYN,New York,11215,10/02/2025,09/30/2027,POINT (-73.98318 40.67293)
0340-24-119940,New York,Restaurant,MIM United Inc,MARSANNE,233 8th Ave,New York,New York,10011,10/28/2025,05/31/2026,POINT (-73.99899 40.7446)
0340-25-103689,Bronx,Restaurant,DOMINICAN BAR & RESTAURANT CORP,,25A E 170th St,Bronx,New York,10452,02/27/2025,01/31/2027,POINT (-73.91666 40.83983)
0340-25-117975,Queens,Restaurant,Enrich Erawan Thai II Corp,Erawan,4231 Bell Blvd,Bayside,New York,11361,07/28/2025,06/30/2027,POINT (-73.77006 40.7617)
0340-25-131441,Queens,Restaurant,M & R CONCESSIONS LLC,Midtown Bistro,JFK International Airport,Jamaica,New York,11430,12/10/2025,01/31/2027,
0340-26-135957,New York,Restaurant,1043 2nd Ave LLC,,1043 2nd Ave,New York,New York,10022,02/20/2026,01/31/2028,POINT (-73.96623 40.75803)
0346-23-126131,Bronx,Catering Establishment,LA MANSION LLC,,2904-2908 BRUCKNER BLVD,BRONX,New York,10465,08/07/2025,07/31/2027,POINT (-73.82763 40.83324)
0423-22-103240,New York,Additional Bar,SOHO-LUDLOW INC,LUDLOW HOUSE/VELVET ROOM/DUCKED UP,139 LUDLOW ST,NEW YORK,New York,10002,04/23/2024,04/30/2026,POINT (-73.98815 40.72047)
0423-22-103548,New York,Additional Bar,SWAY LOUNGE LLC,,305 SPRING STREET,NEW YORK,New York,10013,03/13/2026,03/31/2028,POINT (-74.00839 40.72592)
0423-22-111459,New York,Additional Bar,BRICK NYC RESTAURANT LLC,,22 WARREN ST,NEW YORK,New York,10007,07/10/2024,07/31/2026,POINT (-74.0079 40.71412)
0423-22-114455,Queens,Additional Bar,HOST CEG NMG LGA FB LLC,,LAGUARDIA AIRPORT TERMINAL B,FLUSHING,New York,11371,11/15/2024,11/30/2026,
0423-23-129074,New York,Additional Bar,PMACS 7 LLC,THE DICKENS,783 8TH AVE,NEW YORK,New York,10036,04/16/2025,04/30/2027,POINT (-73.98715 40.76079)
0423-23-131269,Queens,Additional Bar,"SSP AMERICA JFK, LLC",,JFK INTL ARPT TERM 4 CB20,JAMAICA,New York,11432,05/16/2025,04/30/2027,
0423-23-133883,Queens,Additional Bar,"SSP AMERICA JFK, LLC",,JFK INTL ARPT TERM 4 CB20,JAMAICA,New York,11432,05/16/2025,04/30/2027,
0240-22-102775,New York,Restaurant,AA BC BAKERY CAFE CORP,BREAD FACTORY CAFE,470 472 7TH AVE,NEW YORK,New York,10018,03/13/2026,03/31/2028,POINT (-73.98986 40.75198)
0340-22-112423,Kings,Restaurant,BRIGHT SIDE BROOKLYN LLC,,184 KENT AVE,BROOKLYN,New York,11249,08/02/2024,07/31/2026,POINT (-73.96397 40.7182)
0240-24-111768,New York,Restaurant,SUITED CURATION LLC,SUITED,45 JOHN ST,NEW YORK,New York,10038,05/01/2024,04/30/2026,POINT (-74.00795 40.70919)
0340-22-109004,Richmond,Restaurant,EL PATRON RESTAURANT & LOUNGE II INC,,1491 HYLAN BLVD,STATEN ISLAND,New York,10305,12/17/2024,11/30/2026,POINT (-74.08772 40.59189)
0340-22-105148,New York,Restaurant,Blecker Hospitality LLC,SUPER BURRITO,169 BLEECKER ST,NEW YORK,New York,10012,03/03/2026,05/31/2026,POINT (-74.00032 40.72872)
0240-23-142108,Queens,Restaurant,TACO CITY CUISINE INC,TACO CITY,48-14 BROADWAY,ASTORIA,New York,11103,02/11/2025,02/28/2027,POINT (-73.91217 40.75578)
0240-26-136709,Richmond,Restaurant,Peru Roots Corp.,La Criolla,451 Northfield Ave,Staten Island,New York,10303,03/03/2026,02/29/2028,POINT (-74.16865 40.62837)
0240-22-100653,Bronx,Restaurant,619 BAR & RESTAURANT EL SALVADORENO CORP,,395 E 151ST ST,BRONX,New York,10455,05/16/2024,05/31/2026,POINT (-73.91738 40.81758)
0340-21-117399,New York,Restaurant,BROOKLYN BEEF INC,EL TORO MEXICAN GRILL,69 NEW ST,NEW YORK,New York,10004,11/30/2025,11/30/2027,POINT (-74.01232 40.70564)
0240-22-102545,Queens,Restaurant,ASTORIA PIZZA FACTORY INC,,19-46 37TH ST,ASTORIA,New York,11105,08/14/2024,08/31/2026,POINT (-73.90251 40.77867)
0340-22-108559,New York,Restaurant,WS NEW YORK TAVERN LLC & MAJOR MANAGEMENT TCZ LLC,ZZ'S,560 W 33RD ST,NEW YORK,New York,10001,10/31/2025,10/31/2027,POINT (-74.00135 40.75463)
0240-23-142216,New York,Restaurant,2ND LHASA FAST FOOD INC,LHASA,177 1ST AVE,NEW YORK,New York,10003,01/06/2025,01/31/2027,POINT (-73.98407 40.7293)
0340-22-113634,Richmond,Restaurant,TOMMYS STATEN ISLAND LLC,TOMMY'S TAVERN & TAP,2655 RICHMOND AVE,STATEN ISLAND,New York,10314,08/19/2024,08/31/2026,POINT (-74.16708 40.58075)
0267-24-125411-01,New York,Additional Bar,"CITADEL CINEMAS, INC.",{Basement},181 189 2nd Ave,New York,New York,10003,08/20/2024,07/31/2026,POINT (-73.98607 40.73083)
0340-22-108742,New York,Restaurant,SABF LLC,SANT AMBROEUS,200 VESEY ST,NEW YORK,New York,10281,10/25/2024,10/31/2026,POINT (-74.01545 40.71441)
0240-24-119970,Kings,Restaurant,Cuban Shack LLC,,75 Hoyt St,Brooklyn,New York,11201,06/29/2024,05/31/2026,POINT (-73.98669 40.68819)
0340-22-108021,Kings,Restaurant,GREENSTREETKITCHEN LLC,ILIS RESTAURANT,150 GREEN ST,BROOKLYN,New York,11222,10/11/2024,09/30/2026,POINT (-73.95556 40.73367)
0340-22-110212,New York,Restaurant,ASTRAEA MANAGEMENT INC,UNCLE TED'S,36 E 8TH ST,NEW YORK,New York,10003,10/02/2024,10/31/2026,POINT (-73.99424 40.73137)
0240-23-139708,New York,Restaurant,LJ MHT INC,LAO JIE HOTPOT,105 BOWERY,NEW YORK,New York,10002,03/05/2025,03/31/2027,POINT (-73.99519 40.71769)
0340-22-105980,New York,Restaurant,IP TRADING LLC,CAVIAR RUSSE,538 MADISON AVE,NEW YORK,New York,10022,07/05/2024,06/30/2026,POINT (-73.97356 40.76065)
0240-23-140831,Queens,Restaurant,FOB 6015 WOODSIDE LLC,F OTTOMANELLI BURGERS & BELGIAN FRIES,60-15 WOODSIDE AVE,WOODSIDE,New York,11377,01/03/2025,12/31/2026,POINT (-73.904 40.74499)
0340-22-111421,Bronx,Restaurant,TAQUERIA EMILIO 2 CORP,,667 E 187TH ST,BRONX,New York,10458,05/22/2024,05/31/2026,POINT (-73.88565 40.85461)
0340-22-107135,New York,Restaurant,JULY 96 CORP,CITY DINER,2441 BROADWAY,NEW YORK,New York,10024,01/03/2025,12/31/2026,POINT (-73.97452 40.79104)
0240-21-123549,Queens,Restaurant,NICK & DOMS PIZZERIA INC,VACCAROS PIZZERIA/TRATTRIA,88 02 LITTLE NECK PKWY,BELLEROSE,New York,11001,12/17/2025,11/30/2027,POINT (-73.71054 40.72792)
0240-25-114012,Bronx,Restaurant,600 East 187th Street LLC,Full Moon Pizza,600 E 187th St,Bronx,New York,10458,06/16/2025,05/31/2027,POINT (-73.88743 40.85549)
0340-21-120901,New York,Restaurant,265 LAFAYETTE RISTORANTE LLC,SANT AMBROEUS,265 LAFAYETTE ST,NEW YORK,New York,10012,12/22/2025,12/31/2027,POINT (-73.99667 40.72345)
0340-22-113189,Kings,Restaurant,RED NAXELA LOUNGE LLC,RED NAXELA LOUNGE,1466 ST JOHNS PL,BROOKLYN,New York,11213,01/27/2026,01/31/2028,POINT (-73.9298 40.67052)
0340-22-104406,New York,Restaurant,RAA NYC LLC,DHABA,108 LEXINGTON AVE,NEW YORK,New York,10016,12/24/2024,12/31/2026,POINT (-73.98271 40.74231)
0240-22-100982,New York,Restaurant,SHINON INC,COCORON,16 DELANCEY ST,NEW YORK,New York,10002,11/08/2024,12/31/2026,POINT (-73.99314 40.72014)
0340-21-116792,New York,Restaurant,EMINAX LLC,UTSAV,1185 6TH AVE,NEW YORK,New York,10036,01/15/2026,12/31/2027,POINT (-73.98203 40.75769)
0340-22-110719,New York,Restaurant,P I N N INC,CAFE LEX,1370 LEXINGTON AVE,NEW YORK,New York,10128,05/30/2024,06/30/2026,POINT (-73.95345 40.78243)
0240-23-140947,Queens,Restaurant,AYNA AGRA RESTAURANT INC,AGRA INDIAN RESTAURANT,213-35 39TH AVE,BAYSIDE,New York,11361,02/14/2025,02/28/2027,POINT (-73.77146 40.76541)
0340-22-112922,Queens,Restaurant,12. SIX LOUNGE LLC,,253-06A ROCKAWAY BLVD,ROSEDALE,New York,11422,01/09/2026,12/31/2027,POINT (-73.74022 40.63588)
0240-22-101709,Bronx,Restaurant,FRATILLI'S PIZZERIA INC,FRATILLI'S PIZZA & CAFE,404 HUNTS POINT AVE,BRONX,New York,10474,10/17/2024,10/31/2026,POINT (-73.88086 40.80972)
0249-23-134689,Kings,Club,KNIGHTS OF CARDINAL STRICHT COUNCIL INC,,349 QUENTIN RD,BROOKLYN,New York,11223,03/24/2025,03/31/2027,POINT (-73.9729 40.60663)
0240-23-158066,Kings,Restaurant,FORMA 5 GREENE LLC,FORMA PASTA FACTORY,5 GREENE AVE,BROOKLYN,New York,11238,09/05/2025,09/30/2027,POINT (-73.97299 40.68585)
0340-21-119391,New York,Restaurant,RCI DINING SERVICES (37TH STREET) INC,VIVID CABARET,61 W 37TH ST,NEW YORK,New York,10018,10/31/2025,10/31/2027,POINT (-73.98596 40.75152)
0240-25-111688,Kings,Restaurant,CPC Seafood Inc,CPC Seafood Inc,770 59th St,Brooklyn,New York,11220,05/29/2025,04/30/2027,POINT (-74.00945 40.63635)
0240-22-100081,New York,Restaurant,LETS MEAT INC,LETS MEAT,307 5TH AVE,NEW YORK,New York,10016,02/23/2026,02/29/2028,POINT (-73.98577 40.74678)
0340-22-114211,Kings,Restaurant,HOOK & REEL GEORGETOWN INC,HOOK & REEL CAJUN SEAFOOD & BAR,2183B RALPH AVE,BROOKLYN,New York,11234,10/01/2024,09/30/2026,POINT (-73.91746 40.62652)
0340-21-118367,New York,Restaurant,A VENIERO INC,VENIERO'S PASTICCERIA & CAFFE,342 EAST 11TH STREET,NEW YORK,New York,10003,12/23/2025,12/31/2027,POINT (-73.98443 40.72956)
0340-22-106341,New York,Restaurant,STONE STREET AMIGOS LLC,TORO LOCO,15 STONE ST,NEW YORK,New York,10004,02/27/2026,02/29/2028,POINT (-74.01209 40.70403)
0340-22-102856,New York,Restaurant,174 BLEECKER ST LLC,OLD TBILISI,174 BLEECKER ST,NEW YORK,New York,10012,06/13/2024,06/30/2026,POINT (-74.00069 40.72891)
0340-22-109921,Kings,Restaurant,87 ATLANTIC PIZZA CORP,TABLE 87,87 ATLANTIC AVE,BROOKLYN,New York,11201,01/05/2026,10/31/2026,POINT (-73.99742 40.69107)
0340-22-107682,Kings,Restaurant,GREEN CANOE HOSPITALITY LLC,LELAND EATING AND DRINKING HOUSE,755 DEAN ST,BROOKLYN,New York,11238,08/14/2025,09/30/2026,POINT (-73.96522 40.67961)
0240-24-109539,Kings,Restaurant,PANCAKES OF CONEY ISLAND LLC,IHOP,1019 SURF AVENUE,BROOKLYN,New York,11224,04/09/2024,03/31/2026,POINT (-73.97877 40.57552)
0240-23-140038,Kings,Restaurant,RICO CHIMI MYRTLE AVE CORP,,1492 MYRTLE AVE,BROOKLYN,New York,11237,05/30/2025,05/31/2027,POINT (-73.91412 40.69925)
0340-21-117895,New York,Restaurant,VIRCAN GROUP LLC,SALINAS,136 9TH AVE,NEW YORK,New York,10011,01/13/2026,11/30/2027,POINT (-74.00332 40.74376)
0240-22-100895,New York,Restaurant,BELONG CAFE LLC,ATLAS KITCHEN,258 W 109TH ST,NEW YORK,New York,10025,11/13/2024,09/30/2026,POINT (-73.96674 40.80339)
0240-22-101383,Richmond,Restaurant,TAQUERIA MEXICAN RESTAURANT LLC,TAQUERIA MEXICAN RESTAURANT,3579 VICTORY BLVD,STATEN ISLAND,New York,10314,08/05/2024,07/31/2026,POINT (-74.17699 40.60134)
0240-21-122546,New York,Restaurant,SAO MAI VIETNAMESE CUISINE INC,,203 1ST AVE,NEW YORK,New York,10003,11/24/2025,10/31/2027,POINT (-73.98336 40.73027)
0340-22-113255,New York,Restaurant,ANEJO TRIBECA LLC,,31 WALKER ST,NEW YORK,New York,10013,07/10/2024,07/31/2026,POINT (-74.00416 40.71937)
0240-25-106934,Queens,Restaurant,RUAY MAHASAN INC,SETH THAI RESTAURANT,7002 Fresh Pond Rd,Ridgewood,New York,11385,04/09/2025,03/31/2027,POINT (-73.89513 40.70242)
0240-22-100757,Kings,Restaurant,MIKAWA JAPANESE FUSION INC,,7407 3RD AVE,BROOKLYN,New York,11209,09/11/2024,09/30/2026,POINT (-74.02761 40.63189)
0240-23-141415,Kings,Restaurant,IGNAZIO'S LLC,,4 WATER STREET,BROOKLYN,New York,11201,01/14/2025,02/28/2027,POINT (-73.99389 40.70332)
0340-22-114369,New York,Restaurant,LONCHERIA CALLE ANCHA LLC,TACOMBI,74 BROAD ST,NEW YORK,New York,10004,01/27/2026,01/31/2028,POINT (-74.01155 40.70465)
0240-26-138029,Kings,Restaurant,Cibao Downtown Corp,,172 Smith St,Brooklyn,New York,11201,03/20/2026,02/29/2028,POINT (-73.99111 40.6858)
0340-22-104878,Richmond,Restaurant,MAIZAL RESTAURANT LLC,MAIZAL RESTAURANT,990 BAY STREET,STATEN ISLAND,New York,10310,02/12/2026,02/29/2028,POINT (-74.06931 40.61841)
0340-22-111312,Kings,Restaurant,GRAND ST PIZZA LLC,ROBERTA'S,266 KENT AVENUE,BROOKLYN,New York,11249,11/19/2024,11/30/2026,POINT (-73.96625 40.71589)
0340-22-112857,Queens,Restaurant,LA HUECA INC,,93-21 37TH AVE,JACKSON HEIGHTS,New York,11372,07/09/2024,07/31/2026,POINT (-73.87332 40.75091)
0340-21-117283,New York,Restaurant,FRIEDMANS CPW LLC,COMMUNITY RESTAURANT,50 W 72ND ST,NEW YORK,New York,10023,12/05/2025,11/30/2027,POINT (-73.97848 40.77728)
0340-22-108467,New York,Restaurant,MASK POT INC THE,ER HOT POT,11 W 36TH ST,NEW YORK,New York,10018,09/06/2024,07/31/2026,POINT (-73.98453 40.75011)
0340-22-107000,Kings,Restaurant,IVANO RESTAURANT CORP,EL VIEJO YAYO RESTAURANT & PIZZERIA,317 9TH ST,BROOKLYN,New York,11215,04/19/2024,04/30/2026,POINT (-73.9859 40.66899)
0240-23-141120,Kings,Restaurant,ANTON SANTANIELLO HOLDINGS LLC,LA NAPA,"656 NOSTRAND AVE, STORE #1",BROOKLYN,New York,11216,09/26/2025,09/30/2027,POINT (-73.94993 40.67595)
0240-23-140299,Queens,Restaurant,76 TAQUERIA NO 2 CORP,COATZINGO RESTAURANT,79 11 ROOSEVELT AVE,JACKSON HEIGHTS,New York,11372,10/17/2025,09/30/2027,POINT (-73.88654 40.74735)
0340-22-103596,New York,Restaurant,SOUTH VILLAGE HOSPITALITY GROUP LLC,CARROLL PLACE,157 BLEECKER ST,NEW YORK,New York,10012,12/30/2025,01/31/2028,POINT (-73.99987 40.7285)
0240-25-116442,New York,Restaurant,MEAL DELICATESSEN INC,COOK EATERY,1412 Broadway,New York,New York,10018,07/14/2025,06/30/2027,POINT (-73.98704 40.75376)
0340-22-112313,New York,Restaurant,EL NUEVO SANDY RESTAURANT INC,,2261 2ND AVE,NEW YORK,New York,10035,07/10/2024,06/30/2026,POINT (-73.93767 40.79714)
0340-22-106274,New York,Restaurant,BOUCHERIE LLC,BOUCHERIE,97 99 7TH AVE S,NEW YORK,New York,10014,01/12/2026,10/31/2026,POINT (-74.00308 40.73315)
0340-22-112940,Queens,Restaurant,A SERIES OF EVENTS LLC,Tourmaline,106-15 106-17 METROPOLITAN AVE,FOREST HILLS,New York,11375,01/20/2026,01/31/2028,POINT (-73.84649 40.70977)
0240-25-118449,Queens,Restaurant,Taqueria El Molcajete Inc,,566 Seneca Ave,Ridgewood,New York,11385,08/01/2025,07/31/2027,POINT (-73.91088 40.70469)
0340-22-104713,New York,Restaurant,SOBA DADDY INC,SOBA NOODLES AZUMA,251 W 55TH ST,NEW YORK,New York,10019,01/30/2026,02/29/2028,POINT (-73.98325 40.76518)
0340-22-102982,New York,Restaurant,FOOD IN ITALY LLC,GNOCCO,337 E 10TH ST,NEW YORK,New York,10009,10/27/2025,08/31/2026,POINT (-73.98034 40.72704)
0240-22-100194,New York,Restaurant,PI ODYSSEY CORPORATION,PI BAKERIE,512 BROOME ST,NEW YORK,New York,10013,04/11/2024,04/30/2026,POINT (-74.00336 40.72351)
0340-21-118868,Kings,Restaurant,18TH AVE CAFFE ITALIA INC,CAFFE ITALIA,6917 18TH AVE,BROOKLYN,New York,11204,11/13/2025,12/31/2027,POINT (-73.9929 40.61643)
0240-22-100795,New York,Restaurant,G R G NY CORP,BIG A PIZZA,3 CLINTON ST,NEW YORK,New York,10002,04/26/2024,04/30/2026,POINT (-73.98398 40.7212)
0240-22-102464,New York,Restaurant,FAST FISH LLC,BLUE RIBBON SUSHI BAR,225 LIBERTY ST,NEW YORK,New York,10281,06/12/2024,06/30/2026,POINT (-74.01544 40.71141)
0240-23-141638,Queens,Restaurant,TIPICO DOMINICANO RESTAURANTE CORP,,103 10 39TH AVE 1ST FLOOR,CORONA,New York,11368,07/22/2025,07/31/2027,POINT (-73.84153 40.75655)
0240-23-139758,Bronx,Restaurant,COUNTRY CLUB BAR AND GRILL CORP,COUNTRY CLUB GRILL,3284 AMPERE AVE,BRONX,New York,10465,06/24/2025,05/31/2027,POINT (-73.81783 40.84613)
0340-22-103172,Bronx,Restaurant,VISTA HERMOSA DELI RESTAURANT INC,,1201 EVERGREEN AVE,BRONX,New York,10472,05/08/2024,04/30/2026,POINT (-73.88111 40.82871)
0240-25-100693,Queens,Restaurant,Chuan You Dao Hot Pot Inc,,14710 45th Ave,Flushing,New York,11355,01/13/2025,12/31/2026,POINT (-73.81491 40.75554)
0240-23-141853,Queens,Restaurant,SABOR RESTAURANT & BAKERY LLC,,15-20 COLLEGE POINT BLVD,COLLEGE POINT,New York,11356,10/16/2024,09/30/2026,POINT (-73.84584 40.7836)
0240-22-101536,Queens,Restaurant,SUSHI YOU GARDEN INC,SUSHI YOU JAPANESE RESTAURANT,215-05 73RD AVE,BAYSIDE,New York,11364,06/17/2024,06/30/2026,POINT (-73.75875 40.74068)
0240-24-104472,Kings,Restaurant,PHO NUMBER 1 INC,,2351 86TH ST,BROOKLYN,New York,11214,12/10/2025,01/31/2028,POINT (-73.99036 40.59982)
0340-22-107640,New York,Restaurant,COLUMBUS AVENUE KITCHEN LLC,BAREBURGER,795 COLUMBUS AVE,NEW YORK,New York,10025,04/18/2024,04/30/2026,POINT (-73.96635 40.79451)
0340-22-112224,New York,Restaurant,JAYS NICKELS AND DIMES INC,WESTVILLE,"333 HUDSON ST, NORTH STORE",NEW YORK,New York,10013,05/29/2025,10/31/2026,POINT (-74.00738 40.72711)
0240-22-101360,New York,Restaurant,DRAGONFLY SOUL INC,RED BAMBOO,140 W 4TH ST,NEW YORK,New York,10012,10/21/2024,10/31/2026,POINT (-74.00032 40.73139)
0240-21-124003,New York,Restaurant,EL MONO LLC,CASA MONO,52 IRVING PLACE AKA 125 E 17TH,NEW YORK,New York,10003,10/20/2025,10/31/2027,POINT (-73.98731 40.73599)
0240-22-102361,Bronx,Restaurant,EL CRUCERO RESTAURANT CORP,,339 E 138TH ST,BRONX,New York,10454,04/29/2024,04/30/2026,POINT (-73.92469 40.80987)
0240-23-142635,New York,Restaurant,NEW LIFE SUSHI INC,SUSHI SEKI,1143 1ST AVE,NEW YORK,New York,10021,08/06/2025,09/30/2027,POINT (-73.96031 40.76189)
0340-22-112390,Queens,Restaurant,PETER'S GRILL & BAR CORP,,75-11 ROCKAWAY BLVD,JAMAICA,New York,11421,07/29/2024,07/31/2026,POINT (-73.86465 40.68573)
0240-23-141589,Queens,Restaurant,LOS CUENCANITOS CORP,DELI & PIZZERIA,54 18 ROOSEVELT AVENUE,WOODSIDE,New York,11377,07/02/2025,06/30/2027,POINT (-73.9103 40.74479)
0340-22-107521,New York,Restaurant,Inwood Hospitality Partners LLC & Hudson Rest Mgt LLC as Manager,HUDSON CRAB & CUE,348 DYCKMAN ST,NEW YORK,New York,10034,12/04/2025,05/31/2026,POINT (-73.93162 40.86912)
0340-22-114145,Kings,Restaurant,W M 11 INC,THE WICKED MONK,9508 9510 3RD AVE,BROOKLYN,New York,11209,09/13/2024,09/30/2026,POINT (-74.03366 40.6171)
0340-22-111917-01-01,New York,Additional Bar,BARBUTO WEST LLC,BARBUTO,521 WEST ST,NEW YORK,New York,10014,11/19/2024,11/30/2026,POINT (-74.00968 40.73905)
0340-22-110249,New York,Restaurant,AVENUE C HOSPITALITY LLC,,102 AVENUE C,NEW YORK,New York,10009,10/07/2024,10/31/2026,POINT (-73.97896 40.72394)
0240-25-125290,Kings,Restaurant,WANGSAROJ INC,Boon Thai,681 Manhattan Ave,Brooklyn,New York,11222,10/07/2025,09/30/2027,POINT (-73.95149 40.72502)
0340-21-119993,Queens,Restaurant,RAINHAS LLC,RAINHAS CHURRASCARIA,10801 NORTHERN BLVD,CORONA,New York,11368,10/09/2025,11/30/2027,POINT (-73.86055 40.75825)
0340-22-112902,New York,Restaurant,125 W 44 RESTAURANT ASSOCIATES LLC,HUNT & FISH CLUB NYC,125 WEST 44TH ST,NEW YORK,New York,10036,11/06/2024,10/31/2026,POINT (-73.98437 40.75664)
0240-23-141491,New York,Restaurant,132 W HOUSTON RESTAURANT CORP,SONG E NAPULE,132 W HOUSTON ST,NEW YORK,New York,10012,04/29/2025,04/30/2027,POINT (-74.00153 40.72779)
0240-24-111034,New York,Restaurant,PROCENA INC,SPIGA,57 W 84TH ST,NEW YORK,New York,10024,04/24/2024,03/31/2026,POINT (-73.97282 40.78503)
0240-24-105372,New York,Restaurant,L&L ASIA FUSION INC,IKYU,1718 2nd Ave,New York,New York,10128,03/02/2026,02/29/2028,POINT (-73.9502 40.77999)
0340-22-107729,Queens,Restaurant,IL TOSCANO RISTORANTE INC,,42 05 235TH STREET,DOUGLASTON,New York,11363,10/11/2024,07/31/2026,POINT (-73.75168 40.77255)
0240-22-100440,New York,Restaurant,"JIN RESTAURANT CORP, THE",,856 10TH AVE,NEW YORK,New York,10019,11/01/2024,11/30/2026,POINT (-73.98891 40.76863)
0340-22-105504,Richmond,Restaurant,"O P TRADING,INC, THE",ORIENTAL PLAZA,1845 RICHMOND AVE,STATEN ISLAND,New York,10314,12/18/2025,01/31/2028,POINT (-74.16264 40.60307)
0240-24-123269,Queens,Restaurant,Lake Side NYC Inc,Okawa Asian Cuisine,7705A 37th Ave,Jackson Heights,New York,11372,07/30/2024,06/30/2026,POINT (-73.88864 40.74929)
0240-22-100575,Queens,Restaurant,SILK ROAD AUTHENTIC TURKISH CUISINE LLC,SAFIR,47-31 VERNON BLVD,LONG ISLAND CITY,New York,11101,09/09/2024,09/30/2026,POINT (-73.9535 40.74453)
0240-22-101303,Queens,Restaurant,Y&Z NYC INC,MR SUSHI JAPANESE RESTAURANT,58-12 MYRTLE AVE,RIDGEWOOD,New York,11385,07/08/2024,05/31/2026,POINT (-73.90094 40.70049)
0240-23-142473,New York,Restaurant,SUSHI MUMI INC,,130 ST MARKS PL,NEW YORK,New York,10009,06/06/2025,07/31/2027,POINT (-73.98348 40.72683)
0240-24-106184,New York,Restaurant,LPP HUDSON LLC,LE PETIT PARISIEN,355 E 78th St,New York,New York,10075,01/13/2026,02/29/2028,POINT (-73.95363 40.77185)
0340-22-108868,Kings,Restaurant,GNOCCA LOVERS LLC,FRADEI,99 S PORTLAND AVE,BROOKLYN,New York,11217,12/05/2024,12/31/2026,POINT (-73.9745 40.68654)
0340-22-112704,Kings,Restaurant,84 CENTRAL RESTAURANT GROUP LLC,FINE TIME,84 CENTRAL AVE,BROOKLYN,New York,11206,04/30/2024,04/30/2026,POINT (-73.92999 40.70082)
0240-26-138098,New York,Restaurant,Rulin Restaurant Group LLC,Rulin,15 E 13th St,New York,New York,10003,03/20/2026,02/29/2028,POINT (-73.99313 40.7349)
0240-23-141952,Queens,Restaurant,SHU XIANG INC,,136-45 41ST AVE,FLUSHING,New York,11355,07/03/2025,07/31/2027,POINT (-73.82792 40.75891)
