licensepermitid,premisescounty,description,legalname,dba,actualaddressofpremises,city,statename,zipcode,originalissuedate,expirationdate,georeference
0423-23-137462,New York,Additional Bar,UKI FREEDOM LLC,CELLAR,136 2ND AVE,NEW YORK,New York,10003,09/25/2025,09/30/2027,POINT (-73.98753 40.72883)
0423-23-128452,New York,Additional Bar,"CORE CLUB FIFTH AVE INC,THE",CORE,711 5TH AVE,NEW YORK,New York,10022,08/13/2025,08/31/2027,POINT (-73.97476 40.76188)
0423-23-139006,Queens,Additional Bar,LEVY PREMIUM FOODSERVICE LP,FULL LIQUOR,USTA NATIONAL TENNIS CENTER,FLUSHING,New York,11368,07/31/2024,07/31/2026,
0423-22-106824,New York,Additional Bar,MANHATTAN MONSTER INC,ADDL BAR BASEMENT,80 GROVE STREET,NEW YORK,New York,10014,02/20/2026,02/29/2028,POINT (-74.00233 40.73345)
0423-21-119521,New York,Additional Bar,246 S & B INC,,246 W 38TH ST,NEW YORK,New York,10018,12/18/2025,12/31/2027,POINT (-73.99033 40.75417)
0423-23-133623,New York,Additional Bar,LEGENDS OWO LLC,BEER WINE CIDER LIQUOR,1 WORLD TRADE CENTER,NEW YORK,New York,10007,03/04/2025,03/31/2027,POINT (-74.01442 40.71125)
0423-22-115074,New York,Additional Bar,"BOWERY STREET ASSOCIATES LLC, BOWERY STREET TRS LLC & LOWER EAST SIDE HOSPITALITY LLC as mgr",SIDE HOSPITALITY LLC AS MGR,141 151 BOWERY,NEW YORK,New York,10002,09/12/2024,09/30/2026,POINT (-73.99447 40.71929)
0423-23-130212,Kings,Additional Bar,SPEAKMANS GOWANUS LLC,PUBLIC RECORDS,233 BUTLER ST,BROOKLYN,New York,11217,03/06/2025,03/31/2027,POINT (-73.98653 40.68197)
0423-22-104272,New York,Additional Bar,TERMINUS RESTAURANT ASSOC LLC,,1057 1059 LEXINGTON AVE,NEW YORK,New York,10021,07/22/2024,07/31/2026,POINT (-73.96067 40.77253)
0423-22-113241,Queens,Additional Bar,LEVY PREMIUM FOODSERVICE LP,FULL LIQUOR,USTA NATIONAL TENNIS CENTER,FLUSHING,New York,11368,07/31/2024,07/31/2026,
0423-23-135945,New York,Additional Bar,ELDRIDGE HOSPITALITY LLC,THE FLOWER SHOP,107 ELDRIDGE ST,NEW YORK,New York,10002,01/14/2025,01/31/2027,POINT (-73.99203 40.71804)
0423-23-135363,Queens,Additional Bar,"SSP AMERICA JFK, LLC",,JFK INTL ARPT TERM 4 CB20,JAMAICA,New York,11432,05/16/2025,04/30/2027,
0423-22-105986,New York,Additional Bar,EATALY NY LLC,EATALY NYC FLATIRON,200 5TH AVE GROUND FL,NEW YORK,New York,10010,07/15/2024,07/31/2026,POINT (-73.9893 40.74188)
0423-22-111191,Queens,Additional Bar,DMI INC,CELLAR BAR - BEER WINE CIDER LIQUOR,52-19 FLUSHING AVE,MASPETH,New York,11378,04/30/2024,04/30/2026,POINT (-73.91336 40.71501)
0423-23-137455,New York,Additional Bar,"METROPOLITAN MUSEUM OF ART,THE",,1000 5TH AVE,NEW YORK,New York,10028,02/27/2025,02/28/2027,POINT (-73.96282 40.77824)
0423-23-131336,New York,Additional Bar,"APOGEE EVENTS, INC.",TRIBECA  12TH FLOOR,2 DESBROSSES STREET,NEW YORK,New York,10013,03/19/2025,03/31/2027,POINT (-74.00846 40.72329)
0423-23-128773,Queens,Additional Bar,"Aramark Sports and Entertainment Services, LLC",BOOTH G104,126TH STREET AND ROOSEVELT AVE,FLUSHING,New York,11368,02/18/2025,02/28/2027,POINT (-73.84322 40.75535)
0426-22-123027,New York,Additional Bar-Seasonal,PIER 45 LLC,DRIFT IN,389 WEST ST,NEW YORK,New York,10014,02/25/2026,11/30/2026,POINT (-74.0104 40.7329)
0423-22-103187,Kings,Additional Bar,HARD EIGHT RESTAURANT COMPANY LLC,THE WHISKEY BROOKLYN,44 BERRY ST,BROOKLYN,New York,11211,07/18/2024,07/31/2026,POINT (-73.95644 40.72098)
0423-22-105929,New York,Additional Bar,EATALY NY LLC,EATALY NYC FLATIRON,200 5TH AVE GROUND FL,NEW YORK,New York,10010,07/15/2024,07/31/2026,POINT (-73.9893 40.74188)
0423-23-133556,New York,Additional Bar,PIZZAIUOLI NAPOLETANI 1 LLC,,77 FULTON ST,NEW YORK,New York,10038,04/01/2025,03/31/2027,POINT (-74.00508 40.70876)
0417-23-140165,New York,Cabaret,MIXX LIFESTYLE INC,NEBULA,135 W 41ST ST,NEW YORK,New York,10036,09/15/2025,09/30/2027,POINT (-73.98585 40.75471)
0423-23-130356,New York,Additional Bar,HHC PIER VILLAGE LLC & & CREATIVE CULINARY MNGMT CO,11' HORSESHOE SHAPE BAR,89 SOUTH ST,NEW YORK,New York,10038,06/03/2025,06/30/2027,POINT (-74.00326 40.70618)
0423-21-120788,New York,Additional Bar,HHC TS TRS LIMITED & HYATT CORPORATION,HYATT TIMES SQUARE,135 W 45TH ST,NEW YORK,New York,10036,12/02/2025,11/30/2027,POINT (-73.98426 40.75742)
